,CID,Name,Party,last_name,first_name,crp_web_format
295,N00041823,"Smith, Chris",D,Smith,Chris,Chris-Smith
296,N00035282,"Smith, Jason",R,Smith,Jason,Jason-Smith
297,N00042353,"Smith, Tina",D,Smith,Tina,Tina-Smith
298,N00038781,"Smucker, Lloyd",R,Smucker,Lloyd,Lloyd-Smucker
299,N00037422,"Soto, Darren",D,Soto,Darren,Darren-Soto
300,N00041418,"Spanberger, Abigail",D,Spanberger,Abigail,Abigail-Spanberger
301,N00043319,"Spano, Ross",R,Spano,Ross,Ross-Spano
302,N00029649,"Speier, Jackie",D,Speier,Jackie,Jackie-Speier
303,N00004118,"Stabenow, Debbie",D,Stabenow,Debbie,Debbie-Stabenow
304,N00041750,"Stanton, Greg",D,Stanton,Greg,Greg-Stanton
305,N00041511,"Stauber, Pete",R,Stauber,Pete,Pete-Stauber
306,N00035523,"Stefanik, Elise",R,Stefanik,Elise,Elise-Stefanik
307,N00043379,"Steil, Bryan",R,Steil,Bryan,Bryan-Steil
308,N00040915,"Stevens, Haley",D,Stevens,Haley,Haley-Stevens
309,N00033932,"Stewart, Chris",R,Stewart,Chris,Chris-Stewart
310,N00029574,"Stivers, Steve",R,Stivers,Steve,Steve-Stivers
311,N00033508,"Swalwell, Eric",D,Swalwell,Eric,Eric-Swalwell
312,N00006701,"Takano, Mark",D,Takano,Mark,Mark-Takano
313,N00027709,"Taylor, Van",R,Taylor,Van,Van-Taylor
314,N00027605,"Tester, Jon",D,Tester,Jon,Jon-Tester
